IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.201.9.186,443,0,false,GRU,South America,São Paulo,340,3.97
191.237.205.178,443,0,false,GRU,South America,São Paulo,331,3.91
20.226.170.152,443,0,false,GRU,South America,São Paulo,330,3.88
51.107.6.231,8443,443,true,MXP,Europe,Milan,150,3.30
51.107.6.138,8443,443,true,MXP,Europe,Milan,149,3.29
51.107.6.220,8443,443,true,MXP,Europe,Milan,151,3.29
20.203.143.112,2083,80,false,MXP,Europe,Milan,151,3.21
20.203.143.114,2086,80,false,MXP,Europe,Milan,150,3.14
51.107.13.85,8443,443,true,MXP,Europe,Milan,149,3.13
20.203.143.112,2095,80,false,CDG,Europe,Paris,150,3.13
20.203.143.117,2082,80,false,MXP,Europe,Milan,149,3.13
20.203.143.112,2052,80,false,CDG,Europe,Paris,150,3.09
51.107.6.128,8443,443,true,MXP,Europe,Milan,187,3.06
20.203.143.112,2087,80,false,CDG,Europe,Paris,149,2.81
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,176,2.66
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,176,2.66
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,176,2.63
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,179,2.62
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,181,2.60
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,175,2.59
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,176,2.58
51.107.211.177,2053,80,false,CPH,Europe,Copenhagen,176,2.58
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,176,2.57
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,175,2.57
51.107.211.178,2086,80,false,CPH,Europe,Copenhagen,176,2.57
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,176,2.57
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,176,2.56
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,176,2.56
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,175,2.55
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,177,2.53
52.187.35.233,80,0,false,SIN,Asia Pacific,Singapore,2,0.56
4.144.161.159,80,80,false,SIN,Asia Pacific,Singapore,20,0.51
104.208.64.116,80,0,false,HKG,Asia Pacific,Hong Kong,34,0.29
20.46.154.208,2053,443,true,BOM,Asia Pacific,Mumbai,87,0.29
51.11.142.112,80,0,false,LHR,Europe,London,156,0.16
104.208.71.2,80,0,false,HKG,Asia Pacific,Hong Kong,69,0.08
20.102.24.191,80,0,false,IAD,North America,Ashburn,225,0.07
51.116.109.243,80,0,false,FRA,Europe,Frankfurt,154,0.06
40.115.253.187,8080,0,false,SIN,Asia Pacific,Singapore,68,0.06
40.115.253.187,80,0,false,HKG,Asia Pacific,Hong Kong,68,0.05
