IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.204.33.7,443,443,true,FRA,Europe,Frankfurt,176,10.76
34.65.193.203,443,443,true,AMS,Europe,Amsterdam,176,10.76
34.154.191.141,443,443,true,FRA,Europe,Frankfurt,177,10.76
34.65.168.242,443,443,true,AMS,Europe,Amsterdam,203,10.75
34.90.115.177,443,443,true,FRA,Europe,Frankfurt,174,10.75
34.65.38.18,443,443,true,FRA,Europe,Frankfurt,178,10.74
34.141.162.183,443,443,true,FRA,Europe,Frankfurt,180,10.74
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,209,10.73
34.107.95.31,443,443,true,FRA,Europe,Frankfurt,206,10.73
34.89.241.45,443,443,true,FRA,Europe,Frankfurt,160,10.73
34.116.247.197,443,443,true,FRA,Europe,Frankfurt,186,10.73
34.91.121.200,443,443,true,FRA,Europe,Frankfurt,192,10.72
34.32.128.54,443,443,true,FRA,Europe,Frankfurt,184,10.72
34.65.43.197,443,443,true,FRA,Europe,Frankfurt,174,10.71
34.32.181.22,443,443,true,FRA,Europe,Frankfurt,177,10.71
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,176,10.70
34.65.53.217,443,443,true,FRA,Europe,Frankfurt,174,10.70
34.107.95.31,443,443,true,AMS,Europe,Amsterdam,172,10.70
34.154.111.31,443,443,true,FRA,Europe,Frankfurt,176,10.70
34.65.236.226,443,443,true,FRA,Europe,Frankfurt,175,10.69
34.89.158.195,443,443,true,FRA,Europe,Frankfurt,170,10.68
34.65.20.102,443,443,true,FRA,Europe,Frankfurt,175,10.67
34.154.237.146,443,443,true,FRA,Europe,Frankfurt,177,10.66
34.65.200.26,443,443,true,FRA,Europe,Frankfurt,176,10.66
34.65.119.116,443,443,true,FRA,Europe,Frankfurt,176,10.66
34.154.223.58,443,443,true,FRA,Europe,Frankfurt,185,10.66
34.154.16.42,443,443,true,FRA,Europe,Frankfurt,172,10.65
34.91.226.111,443,443,true,FRA,Europe,Frankfurt,173,10.64
34.65.7.101,443,443,true,FRA,Europe,Frankfurt,178,10.63
34.65.227.233,443,443,true,FRA,Europe,Frankfurt,176,10.63
34.90.171.59,443,443,true,FRA,Europe,Frankfurt,160,10.61
35.204.15.252,443,443,true,FRA,Europe,Frankfurt,189,10.61
34.91.29.251,443,443,true,SIN,Asia Pacific,Singapore,176,10.61
34.159.169.60,443,443,true,FRA,Europe,Frankfurt,160,10.61
35.198.141.25,443,443,true,FRA,Europe,Frankfurt,173,10.61
34.159.107.143,443,443,true,FRA,Europe,Frankfurt,168,10.60
34.90.237.95,443,443,true,FRA,Europe,Frankfurt,183,10.60
34.65.127.249,443,443,true,FRA,Europe,Frankfurt,174,10.59
34.107.57.128,443,443,true,FRA,Europe,Frankfurt,168,10.59
34.34.32.189,443,443,true,AMS,Europe,Amsterdam,188,10.58
34.154.42.103,443,443,true,FRA,Europe,Frankfurt,185,10.57
34.65.43.197,443,443,true,FRA,Europe,Frankfurt,174,10.57
34.65.150.119,443,443,true,CDG,Europe,Paris,165,10.57
35.204.6.1,443,443,true,FRA,Europe,Frankfurt,176,10.56
34.32.146.79,443,443,true,FRA,Europe,Frankfurt,174,10.55
34.107.1.24,443,443,true,FRA,Europe,Frankfurt,169,10.55
34.118.97.51,443,443,true,FRA,Europe,Frankfurt,175,10.55
34.154.91.254,443,443,true,FRA,Europe,Frankfurt,169,10.55
34.154.234.37,443,443,true,FRA,Europe,Frankfurt,177,10.54
34.65.51.235,443,443,true,FRA,Europe,Frankfurt,176,10.52
34.141.254.190,443,443,true,FRA,Europe,Frankfurt,177,10.52
34.65.92.52,443,443,true,AMS,Europe,Amsterdam,176,10.51
34.65.23.76,443,443,true,FRA,Europe,Frankfurt,172,10.50
34.65.204.120,443,443,true,FRA,Europe,Frankfurt,176,10.49
34.65.106.214,443,443,true,FRA,Europe,Frankfurt,175,10.49
34.154.238.98,443,443,true,FRA,Europe,Frankfurt,180,10.49
34.147.48.14,443,443,true,FRA,Europe,Frankfurt,200,10.49
34.154.231.167,443,443,true,FRA,Europe,Frankfurt,181,10.48
34.65.35.242,443,443,true,FRA,Europe,Frankfurt,178,10.48
35.234.90.172,443,443,true,FRA,Europe,Frankfurt,173,10.47
34.65.5.18,443,443,true,AMS,Europe,Amsterdam,164,10.47
34.154.237.161,443,443,true,FRA,Europe,Frankfurt,178,10.47
34.65.138.12,443,443,true,FRA,Europe,Frankfurt,166,10.47
34.154.236.234,443,443,true,AMS,Europe,Amsterdam,182,10.47
34.65.77.135,443,443,true,FRA,Europe,Frankfurt,177,10.47
34.107.87.58,443,443,true,CDG,Europe,Paris,196,10.46
34.65.217.157,443,443,true,FRA,Europe,Frankfurt,177,10.46
34.65.51.235,443,443,true,FRA,Europe,Frankfurt,176,10.46
34.65.61.221,443,443,true,FRA,Europe,Frankfurt,174,10.45
34.65.239.183,443,443,true,FRA,Europe,Frankfurt,216,10.45
34.65.89.138,443,443,true,FRA,Europe,Frankfurt,177,10.45
34.65.201.127,443,443,true,FRA,Europe,Frankfurt,173,10.44
34.65.133.57,443,443,true,FRA,Europe,Frankfurt,176,10.42
34.116.237.230,443,443,true,AMS,Europe,Amsterdam,220,10.42
34.32.215.26,443,443,true,FRA,Europe,Frankfurt,173,10.42
34.118.31.189,443,443,true,FRA,Europe,Frankfurt,186,10.42
34.154.192.70,443,443,true,AMS,Europe,Amsterdam,165,10.41
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,178,10.41
34.65.212.101,443,443,true,FRA,Europe,Frankfurt,172,10.41
34.65.201.127,443,443,true,FRA,Europe,Frankfurt,163,10.40
34.65.106.214,443,443,true,FRA,Europe,Frankfurt,176,10.39
34.32.192.220,443,443,true,FRA,Europe,Frankfurt,178,10.38
34.65.204.120,443,443,true,FRA,Europe,Frankfurt,185,10.38
34.32.192.220,443,443,true,FRA,Europe,Frankfurt,177,10.38
34.65.60.0,443,443,true,CDG,Europe,Paris,176,10.38
