170.114.46.47:443#US
66.42.103.115:6969#US
129.159.37.136:8443#US
129.153.213.8:443#US
34.150.133.11:443#US
168.100.6.128:443#US
102.177.176.22:2083#US
168.100.6.46:443#US
35.196.72.166:443#US
146.235.219.98:443#US
129.146.247.85:2053#US
192.18.139.229:8443#US
35.203.182.49:443#US
164.152.17.14:443#US
164.152.26.70:2052#US
164.152.26.70:2086#US
129.146.46.164:443#US
146.235.234.114:443#US
34.123.83.237:443#US
132.226.123.8:443#US
35.224.40.99:443#US
168.100.6.26:443#US
129.159.83.88:8443#US
34.150.180.124:443#US
34.122.129.224:443#US
35.232.160.115:443#US
34.122.12.237:443#US
35.194.80.223:443#US
193.122.197.111:443#US
129.153.165.237:443#US
58.234.19.225:30111#KR
152.70.234.188:443#KR
152.70.244.254:27644#KR
13.125.218.78:443#KR
221.165.136.149:38080#KR
146.56.171.182:11659#KR
152.70.248.96:443#KR
131.186.27.112:2096#KR
144.24.73.199:443#KR
132.145.81.117:443#KR
152.70.237.179:443#KR
8.222.248.188:8443#SG
47.236.75.113:8443#SG
8.222.237.131:8443#SG
8.222.167.8:8443#SG
47.236.97.254:8443#SG
8.222.136.196:8443#SG
161.117.81.13:22388#SG
8.222.130.137:8443#SG
47.236.83.196:8443#SG
47.236.7.13:8443#SG
47.236.123.133:8443#SG
8.222.238.141:8443#SG
8.219.101.72:8443#SG
8.222.153.11:8443#SG
18.136.88.43:2053#SG
125.227.70.180:20734#TW
34.81.205.253:443#TW
158.101.65.24:2053#JP
158.101.94.15:2053#JP
141.147.168.159:2096#JP
158.101.155.158:2083#JP
138.2.14.248:2053#JP
141.147.165.179:2096#JP
20.189.117.178:8081#HK
16.162.152.191:443#HK
34.92.228.196:443#HK
